state_order,state_mm,remaining_passes,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,rpra_discrete_class,rpra_selected_continuous_status,rpra_selected_continuous_detail,online_decision_status,online_action_mm,online_immediate_deflection_um,online_successor_mm,online_discrete_class,online_selected_continuous_status,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_online_minus_rpra,online_local_candidate_count,online_continuous_solve_calls,online_downstream_pass_count_evaluated,online_downstream_fail_count_evaluated,online_downstream_unresolved_count_evaluated
112,4.292,3,0.36,48.62334998103975,3.932,PRESERVING,PASS,continuous_reference,PASS,0.36,48.62334998103975,3.932,PRESERVING,PASS,True,0,0,0.0,113,1,1,0,0
113,4.293,3,0.36,48.586270661350575,3.933,PRESERVING,PASS,continuous_reference,PASS,0.36,48.586270661350575,3.933,PRESERVING,PASS,True,0,0,0.0,114,1,1,0,0
114,4.294,3,0.36,48.549229033471015,3.934,PRESERVING,PASS,continuous_reference,PASS,0.36,48.549229033471015,3.934,PRESERVING,PASS,True,0,0,0.0,115,1,1,0,0
115,4.295,3,0.36,48.51222504952019,3.935,PRESERVING,PASS,continuous_reference,PASS,0.36,48.51222504952019,3.935,PRESERVING,PASS,True,0,0,0.0,116,1,1,0,0
116,4.296,3,0.36,48.47525866169025,3.936,PRESERVING,PASS,continuous_reference,PASS,0.36,48.47525866169025,3.936,PRESERVING,PASS,True,0,0,0.0,117,1,1,0,0
117,4.297,3,0.36,48.43832982224611,3.937,PRESERVING,PASS,continuous_reference,PASS,0.36,48.43832982224611,3.937,PRESERVING,PASS,True,0,0,0.0,118,1,1,0,0
118,4.298,3,0.361,48.60174512994904,3.937,PRESERVING,PASS,continuous_reference,PASS,0.361,48.60174512994904,3.937,PRESERVING,PASS,True,0,0,0.0,119,2,1,1,0
119,4.299,3,0.362,48.76527477442611,3.937,PRESERVING,PASS,continuous_reference,PASS,0.362,48.76527477442611,3.937,PRESERVING,PASS,True,0,0,0.0,120,3,1,2,0
120,4.3,3,0.363,48.92891856370746,3.937,PRESERVING,PASS,continuous_reference,PASS,0.363,48.92891856370746,3.937,PRESERVING,PASS,True,0,0,0.0,121,4,1,3,0
121,4.301,3,0.364,49.09267630659239,3.937,PRESERVING,PASS,continuous_reference,PASS,0.364,49.09267630659239,3.937,PRESERVING,PASS,True,0,0,0.0,122,5,1,4,0
122,4.302,3,0.365,49.256547812644115,3.937,PRESERVING,PASS,continuous_reference,PASS,0.365,49.256547812644115,3.937,PRESERVING,PASS,True,0,0,0.0,123,6,1,5,0
123,4.303,3,0.366,49.42053289218462,3.937,PRESERVING,PASS,continuous_reference,PASS,0.366,49.42053289218462,3.937,PRESERVING,PASS,True,0,0,0.0,124,7,1,6,0
124,4.304,3,0.367,49.584631356289556,3.937,PRESERVING,PASS,continuous_reference,PASS,0.367,49.584631356289556,3.937,PRESERVING,PASS,True,0,0,0.0,125,8,1,7,0
125,4.305,3,0.368,49.74884301678238,3.937,PRESERVING,PASS,continuous_reference,PASS,0.368,49.74884301678238,3.937,PRESERVING,PASS,True,0,0,0.0,126,9,1,8,0
126,4.306,3,0.369,49.913167686230615,3.937,PRESERVING,PASS,continuous_reference,PASS,0.369,49.913167686230615,3.937,PRESERVING,PASS,True,0,0,0.0,127,10,1,9,0
127,4.307,3,0.37,50.07760517793986,3.937,PRESERVING,PASS,continuous_reference,PASS,0.37,50.07760517793986,3.937,PRESERVING,PASS,True,0,0,0.0,128,11,1,10,0
128,4.308,3,0.371,50.2421553059494,3.937,PRESERVING,PASS,continuous_reference,PASS,0.371,50.2421553059494,3.937,PRESERVING,PASS,True,0,0,0.0,129,12,1,11,0
129,4.309,3,0.372,50.40681788502673,3.937,PRESERVING,PASS,continuous_reference,PASS,0.372,50.40681788502673,3.937,PRESERVING,PASS,True,0,0,0.0,130,13,1,12,0
130,4.31,3,0.373,50.571592730662694,3.937,PRESERVING,PASS,continuous_reference,PASS,0.373,50.571592730662694,3.937,PRESERVING,PASS,True,0,0,0.0,131,14,1,13,0
131,4.311,3,0.374,50.73647965906746,3.937,PRESERVING,PASS,continuous_reference,PASS,0.374,50.73647965906746,3.937,PRESERVING,PASS,True,0,0,0.0,132,15,1,14,0
132,4.312,3,0.375,50.90147848716503,3.937,PRESERVING,PASS,continuous_reference,PASS,0.375,50.90147848716503,3.937,PRESERVING,PASS,True,0,0,0.0,133,16,1,15,0
133,4.313,3,0.376,51.066589032588475,3.937,PRESERVING,PASS,continuous_reference,PASS,0.376,51.066589032588475,3.937,PRESERVING,PASS,True,0,0,0.0,134,17,1,16,0
