state_order,state_mm,rpra_action_mm,online_action_mm,rpra_immediate_deflection_um,online_immediate_deflection_um,rpra_successor_mm,online_successor_mm,rpra_selected_continuous_status,online_selected_continuous_status,online_discrete_class,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification
155,4.335,0.398,0.398,54.72692507823705,54.72692507823705,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
156,4.336,0.399,0.399,54.89455635283073,54.89455635283073,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
157,4.337,0.4,0.4,55.06229516914448,55.06229516914448,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
158,4.338,0.401,0.401,55.23014136112375,55.23014136112375,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
159,4.339,0.402,0.402,55.39809476331435,55.39809476331435,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
160,4.34,0.403,0.403,55.5661552108586,55.5661552108586,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
161,4.341,0.404,0.404,55.734322539490826,55.734322539490826,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
162,4.342,0.405,0.405,55.902596585535335,55.902596585535335,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
163,4.343,0.406,0.406,56.070977185901626,56.070977185901626,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
164,4.344,0.407,0.407,56.23946417808103,56.23946417808103,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
165,4.345,0.408,0.408,56.408057400143306,56.408057400143306,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
166,4.346,0.409,0.409,56.576756690733305,56.576756690733305,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
167,4.347,0.41,0.41,56.7455618890663,56.7455618890663,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
168,4.348,0.411,0.411,56.91447283492635,56.91447283492635,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
169,4.349,0.412,0.412,57.08348936866161,57.08348936866161,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
170,4.35,0.413,0.413,57.25261133118125,57.25261133118125,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
171,4.351,0.414,0.414,57.42183856395226,57.42183856395226,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
172,4.352,0.415,0.415,57.59117090899578,57.59117090899578,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
173,4.353,0.416,0.416,57.7606082088836,57.7606082088836,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
174,4.354,0.417,0.417,57.93015030673566,57.93015030673566,3.937,3.937,PASS,PASS,PRESERVING,True,0,0,0.0,EXACT_AGREEMENT
