start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_discrete_class,successor_mm,selected_action_continuous_status,selected_action_continuous_detail,online_continuous_solve_calls,step_status
4.229,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.23,RPRA,1,3,4.23,0.36,50.99792540382983,PRESERVING,3.87,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.23,RPRA,2,2,3.87,0.408,82.95760346177879,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.23,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.231,RPRA,1,3,4.231,0.36,50.958412550161015,PRESERVING,3.871,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.231,RPRA,2,2,3.871,0.409,83.2057043448454,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.231,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.232,RPRA,1,3,4.232,0.36,50.918940505014255,PRESERVING,3.872,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.232,RPRA,2,2,3.872,0.41,83.45396098318801,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.232,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.233,RPRA,1,3,4.233,0.36,50.87950921571976,PRESERVING,3.873,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.233,RPRA,2,2,3.873,0.411,83.70237314118188,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.233,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.234,RPRA,1,3,4.234,0.36,50.84011862968941,PRESERVING,3.874,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.234,RPRA,2,2,3.874,0.412,83.95094058403198,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.234,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.235,RPRA,1,3,4.235,0.36,50.80076869441637,PRESERVING,3.875,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.235,RPRA,2,2,3.875,0.413,84.19966307776825,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.235,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.236,RPRA,1,3,4.236,0.36,50.761459357475125,PRESERVING,3.876,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.236,RPRA,2,2,3.876,0.414,84.44854038924105,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.236,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.237,RPRA,1,3,4.237,0.36,50.72219056652126,PRESERVING,3.877,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.237,RPRA,2,2,3.877,0.415,84.69757228611572,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.237,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.238,RPRA,1,3,4.238,0.36,50.68296226929129,PRESERVING,3.878,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.238,RPRA,2,2,3.878,0.416,84.94675853686743,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.238,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.239,RPRA,1,3,4.239,0.36,50.64377441360266,PRESERVING,3.879,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.239,RPRA,2,2,3.879,0.417,85.19609891077744,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.239,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.24,RPRA,1,3,4.24,0.36,50.604626947353346,PRESERVING,3.88,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,0,CONTINUE
4.24,RPRA,2,2,3.88,0.418,85.4455931779275,PRESERVING,3.462,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
4.24,RPRA,3,1,3.462,0.362,99.88995983826324,PRESERVING,3.1,PASS,exact_terminal_equality,0,TERMINAL_REACHED
4.241,RPRA,1,3,4.241,0.36,50.56551981852196,PRESERVING,3.881,PASS,continuous_reference_residual_valid_optimizer_reported_success,0,CONTINUE
