downstream_passes,successor_mm,classified_status,classification_detail,feasible,capacity_reason,optimizer_success,optimizer_message,multistart_count,decision_at_limit,residual_valid,residual_validity_detail,removal_sum_abs_mm,action_bound_violation_mm,epigraph_violation_um,terminal_thickness_abs_mm,optimal_worst_deflection_um,recoverability_margin_um
2,4.194,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.410605131648481e-13,0.0,132.4965886521167,-32.49658865211671
2,4.195,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.6716406864579767e-12,0.0,132.6228290916561,-32.62282909165609
2,4.196,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,3.808509063674137e-12,4.440892098500626e-16,132.7490635196038,-32.749063519603794
2,4.197,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,3.069544618483633e-12,0.0,132.87529192173238,-32.875291921732384
2,4.198,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,9.15179043659009e-12,0.0,133.00151428384834,-33.00151428384834
2,4.199,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.2737367544323206e-12,0.0,133.12773059178198,-33.12773059178198
2,4.2,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.7053025658242404e-13,0.0,133.25394083141205,-33.25394083141205
2,4.201,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.4210854715202004e-13,0.0,133.38014498864916,-33.380144988649164
2,4.202,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,5.115907697472721e-13,0.0,133.50634304943492,-33.50634304943492
2,4.203,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.821210263296962e-13,0.0,133.63253499974715,-33.63253499974715
2,4.204,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,5.968558980384842e-13,0.0,133.75872082559837,-33.758720825598374
2,4.205,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,2.220446049250313e-16,0.0,0.0,0.0,133.88490051303597,-33.88490051303597
2,4.206,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,1.6484591469634324e-12,0.0,134.01107404814405,-34.01107404814405
2,4.207,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.8421709430404007e-13,0.0,134.13724141703355,-34.13724141703355
2,4.208,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,2.7853275241795927e-12,0.0,134.26340260586198,-34.263402605861984
2,4.209,FAIL,continuous_reference_residual_valid_optimizer_reported_success,True,,True,Optimization terminated successfully,7,FAIL,True,residual_checks_pass,0.0,0.0,6.366462912410498e-12,0.0,134.38955760080495,-34.38955760080495
