terminal_case,epsilon_um,start_state_mm,policy,step,remaining_passes_before,state_before_mm,selected_action_mm,immediate_deflection_um,selected_action_class,successor_mm,remaining_passes_after,step_status,failure_detail
T0,0,4.225,MYOPIC,3,1,3.505,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.226,MYOPIC,1,3,4.226,0.36,51.15638595998316,PRESERVING,3.866,2,CONTINUE,
T0,0,4.226,MYOPIC,2,2,3.866,0.36,68.58824162579856,DESTROYING,3.506,1,CONTINUE,
T0,0,4.226,MYOPIC,3,1,3.506,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.227,MYOPIC,1,3,4.227,0.36,51.11670934389245,PRESERVING,3.867,2,CONTINUE,
T0,0,4.227,MYOPIC,2,2,3.867,0.36,68.52958577810027,DESTROYING,3.507,1,CONTINUE,
T0,0,4.227,MYOPIC,3,1,3.507,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.228,MYOPIC,1,3,4.228,0.36,51.077073747821274,PRESERVING,3.868,2,CONTINUE,
T0,0,4.228,MYOPIC,2,2,3.868,0.36,68.4709967937177,DESTROYING,3.508,1,CONTINUE,
T0,0,4.228,MYOPIC,3,1,3.508,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.229,MYOPIC,1,3,4.229,0.36,51.03747911877214,PRESERVING,3.869,2,CONTINUE,
T0,0,4.229,MYOPIC,2,2,3.869,0.36,68.41247457740404,DESTROYING,3.509,1,CONTINUE,
T0,0,4.229,MYOPIC,3,1,3.509,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.23,MYOPIC,1,3,4.23,0.36,50.99792540382983,PRESERVING,3.87,2,CONTINUE,
T0,0,4.23,MYOPIC,2,2,3.87,0.36,68.3540190340751,DESTROYING,3.51,1,CONTINUE,
T0,0,4.23,MYOPIC,3,1,3.51,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.231,MYOPIC,1,3,4.231,0.36,50.958412550161015,PRESERVING,3.871,2,CONTINUE,
T0,0,4.231,MYOPIC,2,2,3.871,0.36,68.29563006880919,DESTROYING,3.511,1,CONTINUE,
T0,0,4.231,MYOPIC,3,1,3.511,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.232,MYOPIC,1,3,4.232,0.36,50.918940505014255,PRESERVING,3.872,2,CONTINUE,
T0,0,4.232,MYOPIC,2,2,3.872,0.36,68.23730758684684,DESTROYING,3.512,1,CONTINUE,
T0,0,4.232,MYOPIC,3,1,3.512,,,,,1,NO_LOCALLY_FEASIBLE_ACTION,
T0,0,4.233,MYOPIC,1,3,4.233,0.36,50.87950921571976,PRESERVING,3.873,2,CONTINUE,
